districtid,timeid,neighborhoodzscore,statezscore
179,7,19.95,3.12
180,3,2.22,1.26
180,4,1.69,-0.19
180,5,-0.58,-0.2
180,6,-2.9,-0.54
180,7,-2.0,-0.37
181,4,-1.43,-0.42
181,5,2.14,-0.09
181,6,4.97,-0.0
181,7,-2.45,-0.53
182,2,-0.98,-0.36
182,3,-0.67,-0.1
182,4,0.01,-0.08
182,5,-0.12,-0.43
182,6,-0.64,-0.15
182,7,-1.74,-0.36
183,3,-0.58,-0.55
183,4,-0.44,-0.26
183,5,-0.08,0.05
183,6,0.57,0.35
183,7,0.04,0.17
184,3,-0.93,-0.58
184,4,7.27,0.36
184,5,2.23,-0.2
184,6,10.34,0.64
184,7,5.71,0.51
185,3,1.32,1.93
185,4,-0.91,-0.68
185,5,-1.19,-0.81
185,6,-0.09,0.46
185,7,-1.05,-0.6
186,3,4.42,0.46
186,4,0.46,-0.42
186,5,0.55,-0.42
186,6,-0.38,-0.67
186,7,-0.14,-0.65
188,3,-0.22,0.44
188,4,-0.58,-0.52
188,5,-0.32,-0.16
188,6,-3.65,-1.49
188,7,1.43,0.36
190,2,-0.73,-0.38
190,3,-0.51,-0.28
190,4,-0.52,-0.38
190,5,-1.26,-0.6
190,6,-1.2,-0.66
190,7,-1.09,-0.53
191,2,-0.33,-0.2
191,3,-0.87,-0.48
191,4,-0.68,-0.27
191,5,-0.06,0.04
191,6,-0.66,-0.39
191,7,-0.81,-0.31
192,2,-1.18,-0.36
192,3,-0.75,-0.48
192,4,-0.41,0.2
192,5,-0.17,-0.17
192,6,-0.53,-0.3
192,7,-0.6,-0.39
193,3,-1.25,-0.33
193,4,-0.32,-0.39
193,5,0.12,-0.38
193,6,-0.33,-0.69
193,7,-0.55,-0.64
194,3,-0.59,-0.65
194,4,-0.99,-0.67
194,5,-0.5,-0.73
194,6,-0.67,-0.66
194,7,-0.5,-0.38
195,2,-1.95,-0.82
195,3,-0.42,0.0
195,4,-0.71,0.06
195,5,-0.83,-0.35
195,6,-0.75,-0.51
195,7,-0.77,-0.57
196,2,2.16,4.86
196,3,-0.96,-0.76
196,4,-1.69,-1.02
196,5,-0.04,-0.0
196,6,-0.56,-0.34
196,7,-0.19,-0.4
199,4,0.17,-0.23
199,5,-0.59,-0.34
199,6,-0.65,-0.48
199,7,-0.77,-0.52
200,3,-0.91,-0.59
200,4,-2.39,-0.68
200,5,-0.75,-0.65
200,6,-0.42,0.03
200,7,-2.23,-0.48
201,3,-0.85,-0.85
201,4,-0.55,-0.7
201,5,-0.93,-0.69
201,6,0.82,-0.51
201,7,-0.15,-0.68
202,3,-1.26,-0.69
202,4,-0.96,-0.7
202,5,0.34,0.4
202,6,-0.79,-0.75
202,7,-1.03,-0.95
203,4,0.0,-0.93
203,5,0.0,-0.14
203,6,0.0,-0.88
204,3,-0.93,-0.61
204,4,2.13,0.16
204,5,-1.17,-0.49
204,6,-0.51,-0.41
204,7,-0.5,-0.44
206,1,0.0,0.0
206,2,0.0,0.0
206,3,0.0,0.0
206,4,0.0,0.0
206,5,0.0,0.0
206,6,0.0,0.0
206,7,0.0,0.0
207,3,-0.69,-0.34
207,4,0.36,-0.42
207,5,-0.56,-0.53
207,6,-0.06,-0.48
207,7,-0.17,-0.35
208,3,0.0,0.0
208,4,0.0,2.14
208,5,8.25,5.58
208,6,15.7,0.56
208,7,1.39,0.01
210,3,-0.23,-0.23
210,4,-0.25,-0.27
210,5,-0.42,-0.54
210,6,-3.08,-1.7
210,7,-1.43,-1.2
211,3,-1.73,-0.79
211,4,-0.3,-0.29
211,5,-0.1,0.26
211,6,-0.54,0.08
211,7,-0.63,-0.46
212,2,0.0,111.39
212,3,0.0,65.2
212,4,0.0,41.11
212,5,0.0,8.95
212,6,0.0,7.57
212,7,0.0,7.15
213,3,-0.26,-0.21
213,4,-0.7,-0.42
213,5,0.2,0.08
213,6,-0.56,-0.31
213,7,-0.55,-0.3
214,3,-0.89,-0.42
214,4,-0.66,-0.13
214,5,-0.61,-0.38
214,6,-0.62,-0.52
214,7,-0.52,-0.38
215,3,-0.81,-0.26
215,4,-0.32,-0.31
215,5,-0.65,-0.45
215,6,-0.65,-0.57
215,7,-0.82,-0.58
216,3,0.7,-0.41
216,4,-0.97,-0.23
216,5,-0.96,-0.33
216,6,-1.0,-0.43
216,7,-0.87,-0.34
217,3,-1.42,-0.59
217,4,-0.48,-0.26
217,5,-0.91,-0.27
217,6,-1.67,-0.34
217,7,-0.81,-0.16
219,3,-1.85,-0.65
219,4,-0.89,-0.34
219,5,-0.81,-0.37
219,6,-0.41,0.21
219,7,-1.21,-0.16
220,3,-0.66,-0.61
220,4,-0.22,-0.32
220,5,-0.51,-0.56
220,6,-0.65,-0.65
220,7,-0.43,-0.49
221,2,1.0,-0.38
221,3,-0.38,-0.84
221,4,0.73,1.79
221,5,0.93,-0.05
221,6,2.05,0.52
221,7,4.6,0.45
222,2,0.19,-0.32
222,3,-1.0,-0.65
222,4,-1.05,-0.67
222,5,-0.58,-0.66
222,6,-0.48,-0.56
222,7,-0.16,-0.34
224,3,-0.87,-0.55
224,4,-0.07,0.0
224,5,-0.91,-0.77
224,6,-1.1,-0.62
224,7,-1.1,-0.54
225,3,-1.27,-0.24
225,4,-0.41,-0.27
225,5,3.29,0.14
225,6,7.94,1.99
225,7,7.15,2.17
226,2,-1.41,-0.36
226,3,1.19,-0.18
226,4,1.36,-0.14
226,5,1.48,0.06
226,6,2.63,0.61
226,7,3.26,1.46
227,3,-0.19,-0.19
227,4,6.07,1.33
227,5,-0.81,-0.42
227,6,0.22,1.18
227,7,0.23,0.98
228,3,-1.13,0.0
228,4,-1.11,2.33
228,5,-1.04,7.0
228,6,-0.95,3.0
228,7,-0.98,1.0
229,2,-1.0,-0.38
229,3,6.4,-0.23
229,4,-0.5,-0.42
229,5,-0.33,-0.43
229,6,-0.31,-0.52
229,7,-0.34,-0.44
230,3,-0.61,-0.44
230,4,-0.76,-0.36
230,5,-1.0,-0.57
230,6,0.14,-0.74
230,7,1.54,-0.6
231,2,0.0,-0.56
231,3,1.42,0.11
231,4,8.92,0.1
231,5,1.72,0.05
231,6,2.57,0.16
231,7,1.52,0.08
232,4,0.0,0.2
232,5,0.0,-0.5
232,6,0.0,0.0
232,7,0.0,0.0
233,3,0.26,0.0
233,4,-0.67,-0.33
233,5,-0.67,-0.38
233,6,-0.61,-0.41
233,7,-0.1,-0.04
234,2,-1.0,0.25
234,3,-1.28,-0.76
234,4,-1.79,-1.02
234,5,-0.58,-0.28
234,6,-1.61,-0.54
234,7,-0.79,-0.24
235,3,-1.03,-0.6
235,4,8.05,-0.02
235,5,3.65,0.04
235,6,1.39,-0.16
235,7,2.36,-0.3
237,3,-0.93,-0.42
237,4,-1.03,-0.33
237,5,-1.27,-0.5
237,6,-1.15,-0.39
237,7,-1.29,-0.44
238,3,-0.43,-0.36
238,4,-0.78,-0.46
238,5,-0.79,-0.8
238,6,-0.73,-0.53
238,7,-0.68,-0.55
239,2,0.0,-0.56
239,3,2.94,-0.35
239,4,-0.43,-0.24
239,5,4.17,-0.15
239,6,1.1,0.12
239,7,7.19,0.12
240,2,0.0,0.0
240,3,8.57,4.3
240,4,1.3,0.73
240,5,10.25,5.24
240,6,2.0,2.73
240,7,2.93,3.17
241,3,-0.76,-0.37
241,4,-0.49,-0.29
241,5,1.45,2.82
241,6,0.27,-0.85
241,7,0.34,-0.26
242,3,9.17,1.89
242,4,-1.18,-0.41
242,5,0.81,0.48
242,6,-0.46,-0.15
242,7,-0.02,-0.12
243,3,-1.0,-0.28
243,4,-1.27,-0.44
243,5,-1.48,-0.66
243,6,-0.94,-0.53
243,7,-0.76,-0.48
244,2,-1.97,-0.82
244,3,-0.57,-0.42
244,4,-0.54,-0.42
244,5,-0.64,-0.35
244,6,-0.43,-0.29
244,7,-0.52,-0.36
245,3,0.73,0.88
245,4,-0.54,-0.45
245,5,-1.64,-1.14
245,6,1.41,-0.21
245,7,0.39,-0.35
246,3,-0.66,-0.58
246,4,-0.55,-0.42
246,5,-0.57,-0.31
246,6,-0.29,-0.14
246,7,-0.53,-0.36
247,3,8.8,16.05
247,4,1.19,2.99
247,5,-0.69,-0.51
247,6,3.4,0.86
247,7,1.06,0.43
248,2,0.33,0.37
248,3,-0.56,-0.21
248,4,-0.19,0.06
248,5,-0.8,-0.29
248,6,-0.63,-0.39
248,7,-0.42,0.05
249,3,-0.55,-0.22
249,4,-0.69,-0.27
249,5,-1.32,-0.79
249,6,-0.76,-0.67
249,7,-1.09,-0.65
250,3,-1.21,-0.59
250,4,-0.65,-0.19
250,5,6.04,-0.01
250,6,3.42,0.19
250,7,3.86,-0.18
252,3,-3.0,-1.07
252,4,-1.36,-0.39
252,5,11.67,0.4
252,6,-1.25,-0.26
252,7,-0.8,-0.31
254,3,-0.84,-0.32
254,4,0.05,-0.26
254,5,-0.09,-0.2
254,6,-0.52,-0.42
254,7,-0.47,-0.51
257,3,0.0,0.33
257,4,-1.0,-0.52
257,5,5.33,10.04
257,6,11.0,2.49
257,7,0.0,1.81
258,3,-0.77,-0.23
258,4,-0.4,-0.21
258,5,-0.67,-0.49
258,6,1.64,-0.2
258,7,0.55,-0.26
259,3,-0.7,-0.42
259,4,-0.65,-0.42
259,5,-0.46,-0.47
259,6,-0.61,-0.52
259,7,-0.64,-0.51
260,4,0.0,-4.0
260,5,0.0,-1.67
260,6,0.0,-3.0
