districtid,timeid,statemean,statestdev
129,21,564.43,528.95
129,22,683.97,579.84
129,23,468.51,389.02
129,24,344.26,320.02
129,25,340.63,285.08
130,8,14.78,32.72
130,9,12.55,16.02
130,10,24.21,22.47
130,11,23.64,19.64
130,12,33.55,34.82
130,13,42.49,50.93
130,14,57.03,72.54
130,15,62.53,105.76
130,16,71.35,111.06
130,17,121.44,178.5
130,18,169.18,221.72
130,19,232.41,328.03
130,20,351.62,402.55
130,21,400.71,560.79
130,22,441.9,632.33
130,23,447.43,630.81
130,24,509.74,656.68
130,25,563.72,773.77
131,7,8.39,9.99
131,8,4.04,3.38
131,9,15.4,11.96
131,10,32.43,26.43
131,11,31.6,16.48
131,12,34.29,22.53
131,13,39.11,25.52
131,14,31.8,20.15
131,15,40.26,34.86
131,16,63.46,68.43
131,17,97.51,125.0
131,18,259.71,319.62
131,19,305.37,385.82
131,20,481.6,546.21
131,21,560.49,531.17
131,22,676.97,583.9
131,23,459.0,391.73
131,24,339.2,322.62
131,25,334.94,287.01
132,7,150.19,555.71
132,8,285.0,869.92
132,9,346.14,1076.64
132,10,535.27,1871.96
132,11,589.33,1794.92
132,12,560.48,1653.78
132,13,672.77,1857.93
132,14,760.5,1872.11
132,15,953.03,2329.91
132,16,1261.32,2939.54
132,17,1437.97,3216.83
132,18,1695.23,3602.38
132,19,2029.58,4273.83
132,20,2009.58,3726.12
132,21,2199.26,3538.85
132,22,2505.77,3482.78
132,23,2671.13,3920.2
132,24,2851.58,4201.74
132,25,3712.39,4947.75
133,9,12.54,16.02
133,10,23.52,22.38
133,11,22.99,19.44
133,12,33.4,34.9
133,13,42.22,51.02
133,14,56.9,72.58
133,15,61.88,105.9
133,16,70.75,111.31
133,17,119.71,178.98
133,18,166.94,222.39
133,19,232.43,328.02
133,20,345.91,403.19
133,21,398.9,561.28
133,22,438.43,633.32
133,23,443.99,631.25
133,24,500.71,657.48
133,25,557.85,774.3
134,8,14.81,32.7
134,9,12.58,16.0
134,10,23.99,22.6
134,11,22.88,19.27
134,12,32.78,34.76
134,13,42.49,50.93
134,14,57.31,72.4
134,15,62.26,105.85
134,16,70.54,111.35
134,17,120.44,178.92
134,18,168.15,222.22
134,19,232.26,328.07
134,20,347.1,403.52
134,21,394.72,560.88
134,22,436.46,633.29
134,23,443.97,631.25
134,24,505.38,658.14
134,25,562.13,774.22
135,7,6.27,5.71
135,8,12.83,15.73
135,9,14.25,11.5
135,10,32.45,40.43
135,11,34.5,36.09
135,12,90.19,163.78
135,13,47.04,67.72
135,14,68.64,100.23
135,15,118.12,282.2
135,16,361.75,1141.37
135,17,558.5,1670.09
135,18,878.67,2494.63
135,19,1140.88,2679.56
135,20,1299.62,2664.92
135,21,1441.92,2835.49
135,22,1594.21,2956.11
135,23,1706.62,3458.33
135,24,1898.33,3606.45
135,25,2125.08,3894.3
136,10,12.25,18.09
136,11,41.25,45.08
136,12,45.25,44.2
136,13,39.08,50.16
136,14,45.18,37.45
136,15,39.0,30.58
